Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
house-dress,House Dress,"<meta charset=""utf-8"">
<h3>2 pockets</h3>
<h3>Can be worn two ways</h3>
<h3>100% Cotton, Seersucker Gingham</h3>
<h3>Mother of Pearl buttons</h3>
<h3>Manufactured in Bali</h3>",Wagner Uniform,Dress,"color:blue, Dress",true,Size,s,Color,blue/white,,,hd-s-bw,354.3690390625,shopify,2,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_house_dress_000556760027_116.jpg?v=1625318755,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567600202.jpg?v=1625318755,oz,,120.00,active
house-dress,,,,,,,,s,,red/white,,,hd-s-rw,354.3690390625,shopify,0,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/housedress_crop.jpg?v=1625318755,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567600342.jpg?v=1625318755,oz,,120.00,
house-dress,,,,,,,,m,,blue/white,,,hd-m-bw,357.203991375,shopify,13,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567600302.jpg?v=1625318755,3,,,,,,,,,,,,,,,,,,,oz,,120.00,
house-dress,,,,,,,,m,,red/white,,,hd-m-rw,357.203991375,shopify,3,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556760021.jpg?v=1625318755,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567600342.jpg?v=1625318755,oz,,120.00,
house-dress,,,,,,,,l,,blue/white,,,hd-l-bw,371.3787529375,shopify,10,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567600202.jpg?v=1625318755,5,,,,,,,,,,,,,,,,,,,oz,,120.00,
house-dress,,,,,,,,l,,red/white,,,hd-l-rw,371.3787529375,shopify,4,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567600342.jpg?v=1625318755,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567600342.jpg?v=1625318755,oz,,120.00,
house-dress,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556760035copy.jpg?v=1625318755,7,,,,,,,,,,,,,,,,,,,,,,
popover-dress,Popover Dress,"<meta charset=""utf-8""><meta charset=""utf-8"">
<h3 class=""p1"">4 pockets</h3>
<h3 class=""p1"">Black and Blue: 100% Oxford Canvas 9oz</h3>
<h3 class=""p1"">Red and White: 100% Organic Cotton Canvas 9oz (not pictured)</h3>
<h3 class=""p1"">Manufactured in Bali</h3>
<h3 class=""p1"">
<a href=""https://wagner-uniform.com/pages/size-chart"" target=""_blank"" title=""See size chart"" rel=""noopener noreferrer"">See size chart</a><br>
</h3>
<h3><span></span></h3>",Wagner Uniform,Dress,"color:brown, Dress",true,Size,s,Color,blue,,,pd-s-blue,657.7089365,shopify,5,deny,manual,252.00,252.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_popover_dress_23370004.jpg?v=1625318804,1,,false,,,,,,,,,,,,,,,,,oz,,100.00,active
popover-dress,,,,,,,,s,,black,,,pd-s-black,657.7089365,shopify,7,deny,manual,252.00,252.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_popover_dress_23370004_116.jpg?v=1625318804,2,,,,,,,,,,,,,,,,,,,oz,,100.00,
popover-dress,,,,,,,,m,,blue,,,pd-m-blue,623.68950875,shopify,9,deny,manual,252.00,252.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_popover_dress_000004010019_Red.jpg?v=1625318804,3,,,,,,,,,,,,,,,,,,,oz,,100.00,
popover-dress,,,,,,,,m,,black,,,pd-m-black,623.68950875,shopify,16,deny,manual,252.00,252.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567900212.jpg?v=1625318804,4,,,,,,,,,,,,,,,,,,,oz,,100.00,
popover-dress,,,,,,,,l,,blue,,,pd-l-blue,697.398268875,shopify,3,deny,manual,252.00,252.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556790022.jpg?v=1625318804,5,,,,,,,,,,,,,,,,,,,oz,,100.00,
popover-dress,,,,,,,,l,,black,,,pd-l-black,697.398268875,shopify,3,deny,manual,252.00,252.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/88730035.jpg?v=1625318804,6,,,,,,,,,,,,,,,,,,,oz,,100.00,
popover-dress,,,,,,,,s,,red,,,pd-s-red,657.7089365,shopify,3,deny,manual,252.00,252.00,true,true,"",,,,,,,,,,,,,,,,,,,,,oz,,100.00,
popover-dress,,,,,,,,m,,red,,,pd-m-red,657.7089365,shopify,5,deny,manual,252.00,252.00,true,true,"",,,,,,,,,,,,,,,,,,,,,oz,,100.00,
popover-dress,,,,,,,,l,,red,,,pd-l-red,657.7089365,shopify,1,deny,manual,252.00,252.00,true,true,"",,,,,,,,,,,,,,,,,,,,,oz,,100.00,
popover-dress,,,,,,,,s,,white,,,pd-s-white,657.7089365,shopify,2,deny,manual,252.00,252.00,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/88730035.jpg?v=1625318804,oz,,100.00,
popover-dress,,,,,,,,m,,white,,,pd-m-white,657.7089365,shopify,3,deny,manual,252.00,252.00,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/88730035.jpg?v=1625318804,oz,,100.00,
popover-dress,,,,,,,,l,,white,,,pd-l-white,657.7089365,shopify,1,deny,manual,252.00,252.00,true,true,"",,,,,,,,,,,,,,,,,,,,,oz,,100.00,
wrap-dress,Wrap Dress,"<meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8"">
<h3></h3>
<meta charset=""utf-8"">
<h3>4 pockets </h3>
<h3>100% Fine Cotton Canvas 6oz</h3>
<h3>Manufactured in Bali</h3>
<h3><a href=""https://wagner-uniform.com/pages/wrap-dress-size-chart"" target=""_blank"" title=""See size chart"" rel=""noopener noreferrer"">See size chart</a></h3>",Wagner Uniform,Dress,"color:yellow, Dress",true,Color,blue,Size,s,,,wd-s-blue,649.2040795625,shopify,6,deny,manual,277.00,277.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_wrap_dress_000556800031_116.jpg?v=1625318897,1,,false,,,,,,,,,,,,,,,,,oz,,,active
wrap-dress,,,,,,,,blue,,m,,,wd-m-blue,688.8934119375,shopify,10,deny,manual,277.00,277.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_wrap_dress_000556800020.jpg?v=1625318897,2,,,,,,,,,,,,,,,,,,,oz,,,
wrap-dress,,,,,,,,blue,,l,,,wd-l-blue,725.747792,shopify,4,deny,manual,277.00,277.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005568000312.jpg?v=1625318897,3,,,,,,,,,,,,,,,,,,,oz,,,
wrap-dress,,,,,,,,black,,s,,,wd-s-black,649.2040795625,shopify,6,deny,manual,277.00,277.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005568000182.jpg?v=1625318897,4,,,,,,,,,,,,,,,,,,,oz,,,
wrap-dress,,,,,,,,black,,m,,,wd-m-black,688.8934119375,shopify,11,deny,manual,277.00,277.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556770026copy.jpg?v=1625318897,5,,,,,,,,,,,,,,,,,,,oz,,,
wrap-dress,,,,,,,,black,,l,,,wd-l-black,725.747792,shopify,5,deny,manual,277.00,277.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005568000362.jpg?v=1625318897,6,,,,,,,,,,,,,,,,,,,oz,,,
wrap-dress,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567900032.jpg?v=1625318897,7,,,,,,,,,,,,,,,,,,,,,,
field-nurse-dress,Field Nurse Dress,"<meta charset=""utf-8"">
<h4></h4>
<meta charset=""utf-8"">
<h3>2 pockets</h3>
<h3>Black and White: 100% Organic Fine Cotton Twill 7 oz</h3>
<h3>Green and Red: 100% Fine Cotton Twill 6 oz</h3>
<h3>Blue: 100% Cotton Brushed Twill 9 oz (not pictured)</h3>
<h3>Manufactured in Queens, NY</h3>
<h3><a href=""https://wagner-uniform.com/pages/field-nurse-dress-size-chart"" target=""_blank"" title=""See size chart"" rel=""noopener noreferrer"">See size chart</a></h3>",Wagner Uniform,Dress,"color:red, Dress",true,Size,s,Color,red,,,fnd-s-red,725.747792,shopify,3,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_field_nurse_dress_15180005_Blue.jpg?v=1625318972,1,,false,,,,,,,,,,,,,,,,,oz,,135.00,active
field-nurse-dress,,,,,,,,s,,green,,,fnd-s-green,725.747792,shopify,3,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_field_nurse_dress_15180005_Green.jpg?v=1625318972,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085320014.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,s,,blue,,,fnd-s-blue,725.747792,shopify,3,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_field_nurse_dress_000018680008-2.jpg?v=1625318972,3,,,,,,,,,,,,,,,,,,,oz,,135.00,
field-nurse-dress,,,,,,,,s,,black,,,fnd-s-black,725.747792,shopify,1,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_field_nurse_dress_000018680006.jpg?v=1625318695,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085320030.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,s,,white,,,fnd-s-white,725.747792,shopify,2,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/sqa-2.jpg?v=1625318695,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085300034-2.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,m,,red,,,fnd-m-red,756.9322674375,shopify,2,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085300026.jpg?v=1625318695,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/sqa-2.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,m,,green,,,fnd-m-green,756.9322674375,shopify,1,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085300034-2.jpg?v=1625318695,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085320017.jpg?v=1625318695,oz,,135.00,
field-nurse-dress,,,,,,,,m,,blue,,,fnd-m-blue,756.9322674375,shopify,4,deny,manual,335.00,335.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/IMG_3881.jpg?v=1625318695,8,,,,,,,,,,,,,,,,,,,oz,,135.00,
